symbol,side,entry,exit,pnl,reason,bars_held
ETH-USD,long,1913.7208251953125,1908.4123427734376,-0.3883,stop,0
ETH-USD,long,1972.6302490234375,1968.1068015136718,-0.321,stop,3
ETH-USD,long,1941.9864501953125,1962.7068481445312,1.4938,target,5
ETH-USD,long,2030.244384765625,2024.153651611328,-0.42,stop,0
ETH-USD,long,2016.6359456380208,2033.3466796875,1.1601,target,14
ETH-USD,long,2259.9049072265625,2280.946533203125,1.3035,target,2
ETH-USD,long,2148.49072265625,2164.3798014322915,1.0354,target,7
ETH-USD,long,2057.5806884765625,2076.861328125,1.3119,target,13
XRP-USD,long,1.3516192436218262,1.3475643858909607,-0.42,stop,2
XRP-USD,long,1.3418802917003632,1.3554019927978516,1.4107,target,10
XRP-USD,long,1.453458309173584,1.449408082485199,-0.3901,stop,17
XRP-USD,long,1.412729024887085,1.4084908378124237,-0.42,stop,7
AVAX-USD,long,8.854008674621582,8.827446648597718,-0.42,stop,2
AVAX-USD,long,9.116216341654459,9.088867692629496,-0.42,stop,0
LINK-USD,long,8.774210929870605,8.764592630386353,-0.1535,stop,0
LINK-USD,long,8.662080764770508,8.636094522476196,-0.42,stop,3
LINK-USD,long,9.083168983459473,9.055919476509095,-0.42,stop,5
