variant,cap_total,year,n,pnl_gross,fees,pnl_net,pnl_net_pfu,pnl_net_bnc
A,500,2022,5458,2531.0242596231155,371.4504369618986,2159.5738226612175,1511.7016758628522,1187.7656024636697
A,500,2023,3289,11359.655335851308,2343.8942519833145,9015.761083867994,6311.032758707595,4958.668596127397
A,1000,2022,8479,7988.639001842175,1146.1423796437132,6842.496622198461,4789.747635538923,3763.373142209154
A,1000,2023,5006,32265.656822443227,6091.780585554632,26173.8762368886,18321.71336582202,14395.63193028873
A,2500,2022,8479,19971.597504605437,2865.355949109283,17106.24155549615,11974.369088847305,9408.432855522884
A,2500,2023,5006,80664.14205610461,15229.451463885915,65434.6905922187,45804.28341455309,35989.079825720284
A,5000,2022,8479,39943.195009210875,5730.711898218566,34212.4831109923,23948.73817769461,18816.865711045768
A,5000,2023,5006,161328.28411220922,30458.90292777183,130869.3811844374,91608.56682910617,71978.15965144057
A,10000,2022,8479,79886.39001842175,11461.423796437131,68424.9662219846,47897.47635538922,37633.731422091536
A,10000,2023,5006,322656.56822441844,60917.80585554366,261738.7623688748,183217.13365821235,143956.31930288114
A,25000,2022,8479,199715.97504605434,28653.55949109283,171062.4155549615,119743.69088847305,94084.32855522884
A,25000,2023,5006,806641.4205610604,152294.51463886185,654346.9059221984,458042.83414553886,359890.7982572092
B,500,2022,5876,2742.0956666174534,417.47545931627644,2324.620207301177,1627.2341451108236,1278.5411140156473
B,500,2023,3848,14560.031065698535,3124.0790210770283,11435.952044621507,8005.166431235054,6289.773624541829
B,1000,2022,8884,8479.501749421608,1242.5949713607647,7236.906778060842,5065.834744642589,3980.2987279334634
B,1000,2023,5561,38802.646259765315,7732.341588152279,31070.304671613045,21749.21327012913,17088.667569387177
B,2500,2022,8884,21198.754373554017,3106.4874284019115,18092.266945152103,12664.58686160647,9950.746819833657
B,2500,2023,5561,97006.61564940975,19330.853970379976,77675.76167902978,54373.03317532084,42721.66892346638
B,5000,2022,8884,42397.50874710803,6212.974856803823,36184.53389030421,25329.17372321294,19901.493639667315
B,5000,2023,5561,194013.2312988195,38661.70794075995,155351.52335805955,108746.06635064167,85443.33784693276
B,10000,2022,8884,84795.01749421607,12425.949713607646,72369.06778060841,50658.34744642588,39802.98727933463
B,10000,2023,5561,388026.462597639,77323.4158815199,310703.0467161191,217492.13270128335,170886.67569386552
B,25000,2022,8884,211987.54373554018,31064.87428401911,180922.66945152104,126645.86861606472,99507.46819833657
B,25000,2023,5561,970066.1564941078,193308.5397038018,776757.6167903059,543730.3317532141,427216.6892346683
